日期,17/01/01~17/01/08,17/01/09~17/01/16,17/01/17~17/01/24,17/01/25~17/01/31,17/02/01~17/02/07,17/02/08~17/02/14,17/02/15~17/02/21,17/02/22~17/02/28,17/03/01~17/03/08,17/03/09~17/03/16,17/03/17~17/03/24,17/03/25~17/03/31
白肉雞(2.0Kg以上),26.00,26.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,26.25,26.00,26.00
白肉雞(1.75-1.95Kg),26.00,26.00,26.00,26.00,26.00,26.00,27.00,27.00,27.00,26.25,26.00,26.00
白肉雞(門市價高屏),27.00,27.00,27.00,27.00,27.83,28.00,28.00,28.00,28.00,28.00,28.00,28.00
雞蛋(產地),25.00,25.00,24.50,20.00,23.33,25.00,21.00,21.00,25.00,25.38,28.00,28.00
